Topics,Alpha,Decay,Chunksize,Passes,Coherence
6,0.61,0.5,2500,5,0.4954057219462055
6,0.61,0.5,2500,10,0.4566021607473536
6,0.61,0.6000000000000001,1500,1,0.5214323325212752
6,0.61,0.6000000000000001,1500,5,0.4730576335735124
6,0.61,0.6000000000000001,1500,10,0.4506866961577916
6,0.61,0.6000000000000001,2000,1,0.5188507436003013
6,0.61,0.6000000000000001,2000,5,0.5061814848744383
6,0.61,0.6000000000000001,2000,10,0.46815490100735163
6,0.61,0.6000000000000001,2500,1,0.547753030959182
6,0.61,0.6000000000000001,2500,5,0.5040013193322084
6,0.61,0.6000000000000001,2500,10,0.45848230713187527
6,0.61,0.7000000000000002,1500,1,0.524978153387623
6,0.61,0.7000000000000002,1500,5,0.5161089420289425
6,0.61,0.7000000000000002,1500,10,0.45491700837143506
6,0.61,0.7000000000000002,2000,1,0.5251358490957017
6,0.61,0.7000000000000002,2000,5,0.5103826619806769
6,0.61,0.7000000000000002,2000,10,0.47287352980130515
6,0.61,0.7000000000000002,2500,1,0.546692778177492
6,0.61,0.7000000000000002,2500,5,0.5320930781638459
6,0.61,0.7000000000000002,2500,10,0.48261520936405405
6,0.9099999999999999,0.3,1500,1,0.5931830717116842
6,0.9099999999999999,0.3,1500,5,0.46625801138559914
6,0.9099999999999999,0.3,1500,10,0.4465511058170651
6,0.9099999999999999,0.3,2000,1,0.5633919281938761
6,0.9099999999999999,0.3,2000,5,0.4791209371436869
6,0.9099999999999999,0.3,2000,10,0.46780847745357773
6,0.9099999999999999,0.3,2500,1,0.5549707998940449
6,0.9099999999999999,0.3,2500,5,0.48910590174504237
6,0.9099999999999999,0.3,2500,10,0.4531951596641157
6,0.9099999999999999,0.4,1500,1,0.5455654989392719
6,0.9099999999999999,0.4,1500,5,0.47130184911343037
6,0.9099999999999999,0.4,1500,10,0.4580859066924252
6,0.9099999999999999,0.4,2000,1,0.5234709878970555
6,0.9099999999999999,0.4,2000,5,0.5001377308625193
6,0.9099999999999999,0.4,2000,10,0.471037237845668
6,0.9099999999999999,0.4,2500,1,0.5389004213859071
6,0.9099999999999999,0.4,2500,5,0.5109557807387318
6,0.9099999999999999,0.4,2500,10,0.4572690602379052
6,0.9099999999999999,0.5,1500,1,0.5329714103221425
6,0.9099999999999999,0.5,1500,5,0.5147701290027645
6,0.9099999999999999,0.5,1500,10,0.456627956446626
6,0.9099999999999999,0.5,2000,1,0.5153334182149018
6,0.9099999999999999,0.5,2000,5,0.5146254197824514
6,0.9099999999999999,0.5,2000,10,0.46749521051473497
6,0.9099999999999999,0.5,2500,1,0.5434843279687857
6,0.9099999999999999,0.5,2500,5,0.526905299583916
6,0.9099999999999999,0.5,2500,10,0.4491640049067962
6,0.9099999999999999,0.6000000000000001,1500,1,0.5289846770442871
6,0.9099999999999999,0.6000000000000001,1500,5,0.5309584636831232
6,0.9099999999999999,0.6000000000000001,1500,10,0.47503468626664586
6,0.9099999999999999,0.6000000000000001,2000,1,0.5207188858903055
6,0.9099999999999999,0.6000000000000001,2000,5,0.5244388944067104
6,0.9099999999999999,0.6000000000000001,2000,10,0.4756068535729712
6,0.9099999999999999,0.6000000000000001,2500,1,0.5515552721573985
6,0.9099999999999999,0.6000000000000001,2500,5,0.5209579724981354
6,0.9099999999999999,0.6000000000000001,2500,10,0.48578031168240504
6,0.9099999999999999,0.7000000000000002,1500,1,0.5200093911677487
6,0.9099999999999999,0.7000000000000002,1500,5,0.5520599782158208
6,0.9099999999999999,0.7000000000000002,1500,10,0.488461157367349
6,0.9099999999999999,0.7000000000000002,2000,1,0.5260414349597834
6,0.9099999999999999,0.7000000000000002,2000,5,0.5242761887932245
6,0.9099999999999999,0.7000000000000002,2000,10,0.502650522792207
6,0.9099999999999999,0.7000000000000002,2500,1,0.5529446465351483
6,0.9099999999999999,0.7000000000000002,2500,5,0.527684467899727
6,0.9099999999999999,0.7000000000000002,2500,10,0.5210868735205948
6,symmetric,0.3,1500,1,0.4924051500323002
6,symmetric,0.3,1500,5,0.46492070020122095
6,symmetric,0.3,1500,10,0.4616046732738633
6,symmetric,0.3,2000,1,0.5027740993088553
6,symmetric,0.3,2000,5,0.4626062202902819
6,symmetric,0.3,2000,10,0.4513788229710662
6,symmetric,0.3,2500,1,0.5015881674366289
6,symmetric,0.3,2500,5,0.4679668802773138
6,symmetric,0.3,2500,10,0.45024184785083526
6,symmetric,0.4,1500,1,0.5078140956885193
6,symmetric,0.4,1500,5,0.4574291580613499
6,symmetric,0.4,1500,10,0.4610942319466412
6,symmetric,0.4,2000,1,0.5076019954215868
6,symmetric,0.4,2000,5,0.4688767365234327
6,symmetric,0.4,2000,10,0.46113255879264176
6,symmetric,0.4,2500,1,0.5055180782416848
6,symmetric,0.4,2500,5,0.475977014534823
6,symmetric,0.4,2500,10,0.45552617622712716
6,symmetric,0.5,1500,1,0.513498163439662
6,symmetric,0.5,1500,5,0.4577934574161208
6,symmetric,0.5,1500,10,0.4592012371286855
6,symmetric,0.5,2000,1,0.5110152155475262
6,symmetric,0.5,2000,5,0.48188124081929234
6,symmetric,0.5,2000,10,0.4654192241508472
6,symmetric,0.5,2500,1,0.5075709755555751
6,symmetric,0.5,2500,5,0.48576264574520467
6,symmetric,0.5,2500,10,0.4688584495563415
6,symmetric,0.6000000000000001,1500,1,0.5077501161749786
6,symmetric,0.6000000000000001,1500,5,0.45733621842683064
6,symmetric,0.6000000000000001,1500,10,0.4564555385579962
6,symmetric,0.6000000000000001,2000,1,0.49784867239278485
6,symmetric,0.6000000000000001,2000,5,0.4825134347043978
6,symmetric,0.6000000000000001,2000,10,0.45654917657542554
6,symmetric,0.6000000000000001,2500,1,0.5181015235361782
6,symmetric,0.6000000000000001,2500,5,0.4920649553513532
6,symmetric,0.6000000000000001,2500,10,0.4682568741738831
6,symmetric,0.7000000000000002,1500,1,0.5095113306567676
6,symmetric,0.7000000000000002,1500,5,0.46174792464705255
6,symmetric,0.7000000000000002,1500,10,0.4562165255161285
6,symmetric,0.7000000000000002,2000,1,0.5038604476376364
6,symmetric,0.7000000000000002,2000,5,0.49412114249993816
6,symmetric,0.7000000000000002,2000,10,0.47419578424205944
6,symmetric,0.7000000000000002,2500,1,0.5010450855874932
6,symmetric,0.7000000000000002,2500,5,0.513194511801927
6,symmetric,0.7000000000000002,2500,10,0.47951343577255523
6,asymmetric,0.3,1500,1,0.5156059798434552
6,asymmetric,0.3,1500,5,0.4577829071280914
6,asymmetric,0.3,1500,10,0.45354589519862293
6,asymmetric,0.3,2000,1,0.4984835450155419
6,asymmetric,0.3,2000,5,0.432186041188243
6,asymmetric,0.3,2000,10,0.40100580618204834
6,asymmetric,0.3,2500,1,0.489304938646095
6,asymmetric,0.3,2500,5,0.49180666450423977
6,asymmetric,0.3,2500,10,0.4754334936551217
6,asymmetric,0.4,1500,1,0.5098713949739163
6,asymmetric,0.4,1500,5,0.4798181824273366
6,asymmetric,0.4,1500,10,0.48788625701362004
6,asymmetric,0.4,2000,1,0.5131459266457132
6,asymmetric,0.4,2000,5,0.41979542930736075
6,asymmetric,0.4,2000,10,0.41063950783798525
6,asymmetric,0.4,2500,1,0.48771325773410185
6,asymmetric,0.4,2500,5,0.48898716557661576
6,asymmetric,0.4,2500,10,0.47286097821331907
6,asymmetric,0.5,1500,1,0.5051675271181219
6,asymmetric,0.5,1500,5,0.4872068689184741
6,asymmetric,0.5,1500,10,0.4820491028608331
6,asymmetric,0.5,2000,1,0.5180968762857963
6,asymmetric,0.5,2000,5,0.4453877530134429
6,asymmetric,0.5,2000,10,0.4281579601176602
6,asymmetric,0.5,2500,1,0.48386154575240764
6,asymmetric,0.5,2500,5,0.4832476906824586
6,asymmetric,0.5,2500,10,0.4754885939051272
6,asymmetric,0.6000000000000001,1500,1,0.4909295756096855
6,asymmetric,0.6000000000000001,1500,5,0.4937595504604427
6,asymmetric,0.6000000000000001,1500,10,0.4834611894676608
6,asymmetric,0.6000000000000001,2000,1,0.5094700924389155
