Topics,Alpha,Decay,Chunksize,Passes,Coherence
5,0.7,0.2,100,1,0.4833563949371424
5,0.7,0.2,300,1,0.49446979583441764
5,0.7,0.2,500,1,0.5238412295139959
5,0.7999999999999999,0.1,100,1,0.5536607200510547
5,0.7999999999999999,0.1,300,1,0.5434580269244476
5,0.7999999999999999,0.1,500,1,0.5732715722773942
5,0.7999999999999999,0.2,100,1,0.5002200338836648
5,0.7999999999999999,0.2,300,1,0.5105818031427807
5,0.7999999999999999,0.2,500,1,0.5289605703446757
5,0.8999999999999999,0.1,100,1,0.5308698811344508
5,0.8999999999999999,0.1,300,1,0.5442070110549975
5,0.8999999999999999,0.1,500,1,0.5687437983533917
5,0.8999999999999999,0.2,100,1,0.48684590994495497
5,0.8999999999999999,0.2,300,1,0.5218086227638127
5,0.8999999999999999,0.2,500,1,0.5141221599028862
5,symmetric,0.1,100,1,0.5159118050666838
5,symmetric,0.1,300,1,0.5305513554999322
5,symmetric,0.1,500,1,0.5247527636730009
5,symmetric,0.2,100,1,0.523670185692142
5,symmetric,0.2,300,1,0.5022404495934044
5,symmetric,0.2,500,1,0.5133560497128145
5,asymmetric,0.1,100,1,0.5055067879645501
5,asymmetric,0.1,300,1,0.5225481222720603
5,asymmetric,0.1,500,1,0.464769540133824
5,asymmetric,0.2,100,1,0.530078208567359
5,asymmetric,0.2,300,1,0.5354074811207127
5,asymmetric,0.2,500,1,0.5090537272338913
6,0.5,0.1,100,1,0.5420781510996621
6,0.5,0.1,300,1,0.5378124005325401
6,0.5,0.1,500,1,0.5325271194010247
6,0.5,0.2,100,1,0.5001253357860672
6,0.5,0.2,300,1,0.5148950309732961
6,0.5,0.2,500,1,0.5137910765505823
6,0.6,0.1,100,1,0.5142651042287111
6,0.6,0.1,300,1,0.5442132427911374
6,0.6,0.1,500,1,0.5486174334222015
6,0.6,0.2,100,1,0.5047283330566897
6,0.6,0.2,300,1,0.5259444185233654
6,0.6,0.2,500,1,0.5099958533238502
6,0.7,0.1,100,1,0.520535764133403
6,0.7,0.1,300,1,0.5373602441257995
6,0.7,0.1,500,1,0.5857231791561411
6,0.7,0.2,100,1,0.5050926559308427
6,0.7,0.2,300,1,0.5045222348778026
6,0.7,0.2,500,1,0.5171900362132335
6,0.7999999999999999,0.1,100,1,0.5812969893158235
6,0.7999999999999999,0.1,300,1,0.5429822433381423
6,0.7999999999999999,0.1,500,1,0.5822622901833163
6,0.7999999999999999,0.2,100,1,0.4984184304063857
6,0.7999999999999999,0.2,300,1,0.5157371050786155
6,0.7999999999999999,0.2,500,1,0.5224175123645425
6,0.8999999999999999,0.1,100,1,0.5673159796174039
6,0.8999999999999999,0.1,300,1,0.5639543627629411
6,0.8999999999999999,0.1,500,1,0.5640668662187026
6,0.8999999999999999,0.2,100,1,0.496250012384025
6,0.8999999999999999,0.2,300,1,0.5420549262235566
6,0.8999999999999999,0.2,500,1,0.5233822137796877
6,symmetric,0.1,100,1,0.5163174809108684
6,symmetric,0.1,300,1,0.527587147770842
